sample_id,category,defect_type,dice,iou,precision,recall,predicted_positive_rate,search_region_recall,pixel_auroc,pixel_ap,aupro,disposition,confidence
macaroni2/bad/066,macaroni2,bad,0.03031811539511506,0.015392391853772277,0.015600727152536771,0.5354509359047079,0.04034,1.0,0.939105467953573,0.019525508121896296,0.7974000771840414,needs_review,0.31972950977260306
macaroni2/bad/067,macaroni2,bad,0.02293782641786736,0.011601975256199226,0.011884688604840902,0.3278319579894974,0.024513333333333335,1.0,0.9500126641924803,0.01845616159842555,0.7624878982702892,needs_review,0.13893353276552595
macaroni2/bad/068,macaroni2,bad,0.04801338834867415,0.02459719142645972,0.02479732951835956,0.7529411764705882,0.044736,0.0,0.9742588371301439,0.06283971379640786,0.9141179919242859,needs_review,0.4418665471714702
macaroni2/bad/069,macaroni2,bad,0.013164310092637738,0.006625766871165644,0.006641884873995517,0.7319277108433735,0.024390666666666668,0.0,0.9838941410598477,0.011855473459472424,0.9459205468495687,needs_review,0.30946315467285485
macaroni2/bad/070,macaroni2,bad,0.03506478957391986,0.017845265018339385,0.017958918257277284,0.7382075471698113,0.03485733333333333,0.0,0.974462800691884,0.01560645337790859,0.9148538112640381,needs_review,0.1922170403249654
macaroni2/bad/071,macaroni2,bad,0.0,0.0,0.0,0.0,0.024220666666666668,0.0,0.9793233184542474,0.05149123732844919,0.9310443202654521,soft_mask_only,0.4702274405977307
macaroni2/bad/072,macaroni2,bad,0.0,0.0,0.0,0.0,0.012668,1.0,0.9493747104706766,0.0012714318810370993,0.8320116500059764,needs_review,0.4109184259026824
macaroni2/bad/073,macaroni2,bad,0.0,0.0,0.0,0.0,0.0213,0.0,0.7982050399955917,0.0007087034271694923,0.4324982066949209,soft_mask_only,0.4702274405977307
macaroni2/bad/074,macaroni2,bad,0.0,0.0,0.0,0.0,0.02459333333333333,0.0,0.8939076485503579,0.0009311137953691072,0.6766740481058757,needs_review,0.43099128586129765
macaroni2/bad/075,macaroni2,bad,0.004252833974752542,0.0021309482719810316,0.0021448531077713166,0.24738675958188153,0.044136666666666664,0.0,0.8904103645124949,0.0019602483337905854,0.6363523503144582,needs_review,0.33593562231274693
macaroni2/bad/076,macaroni2,bad,0.0018262637400503084,0.000913966441911397,0.0009162100022473076,0.2717948717948718,0.038564666666666664,1.0,0.8479884743991077,0.0006798693899197997,0.5447687208652496,needs_review,0.25492658725027967
macaroni2/bad/077,macaroni2,bad,0.08061183416074064,0.04199871375443894,0.042435372227715776,0.8032085561497326,0.023596666666666665,0.0,0.9467141840749703,0.011188889007849574,0.7684845725695293,soft_mask_only,0.4702274405977307
macaroni2/bad/078,macaroni2,bad,0.007367704314122597,0.003697473101321277,0.003699223338417574,0.8865546218487395,0.038026,0.0,0.9805158552944182,0.005877272382157157,0.9480653206507366,needs_review,0.33593562231274693
macaroni2/bad/079,macaroni2,bad,0.007857928650007858,0.003944461975386557,0.003959341165630039,0.5121042830540037,0.046304,0.0,0.9162431540932374,0.00349407168509822,0.7278358936309814,needs_review,0.3067688834428775
macaroni2/bad/080,macaroni2,bad,0.00974106381222311,0.004894370091804004,0.004965772640556616,0.2539454806312769,0.023762666666666668,0.0,0.9530377908523541,0.00713039595006739,0.8435513575871786,needs_review,0.31003900804996526
macaroni2/bad/081,macaroni2,bad,0.0007665772326561902,0.0003834355828220859,0.0003850808669820662,0.08235294117647059,0.024237333333333333,0.0,0.9381718712434468,0.0008552270252813694,0.7726500431696575,soft_mask_only,0.48444374881296326
macaroni2/bad/082,macaroni2,bad,0.0,0.0,0.0,0.0,0.012957333333333333,0.0,0.9816280058144706,0.003560671767854439,0.9485727548599243,needs_review,0.4402669245321491
macaroni2/bad/083,macaroni2,bad,0.038287133788099836,0.01951719563425861,0.019786848164978704,0.5888417222559127,0.03271533333333333,0.009096422073984234,0.9276904053680887,0.06801155330666528,0.9348894158999126,needs_review,0.33593562231274693
macaroni2/bad/084,macaroni2,bad,0.008502261087889984,0.004269279809744846,0.004277921332184898,0.6788154897494305,0.04644,0.0,0.957107326015151,0.004376318887731977,0.8600785334904989,needs_review,0.17998724662083718
macaroni2/bad/085,macaroni2,bad,0.039451206491565236,0.020122532334921714,0.020268231809330517,0.7367896311066799,0.024307333333333334,1.0,0.9839995552732476,0.03355417801240633,0.9191569685935974,needs_review,0.2095946459461886
